9782845384361,284538436X,"Dans la cité futuriste de Metrocity, le professeur Ochanomizu achève un projet sur lequel il travaille depuis plus de cinq ans : la création d'Astro, le meilleur super-robot au monde ! Doté d'un cœur, Astro marque le commencement d'une nouvelle ère pour les machines, un âge d'or où humains et robots seraient amis. Malheureusement, tout le monde ne partage pas cette vision idéale du futur...",,2005-01-13,180.000000,Astroboy,Akira Himekawa;Osamu Tezuka,,,9782845384361,
9782845384828,2845384823,"Rapidement devenu la coqueluche de Metrocity, Astro doit faire face à de nouvelles situations périlleuses remettant en question les rapports entre les hommes et les robots. Si Astro préserve la paix dans la cité futuriste, c'est sans compter sur l'acharnement d'Atlas et ses plans machiavéliques. Ce dernier est bien décidé à prendre sa revanche sur la société humaine !",,2005-04-14,175.000000,Astroboy,Akira Himekawa,,,9782845384828,

9782368520130,2368520139,Rouge est un jeune garçon plein d'ambition et de fougue. Sa plus grande fierté : être considéré comme le meilleur Dresseur de Pokémon des environs de Bourg Palette ! Le Professeur Chen va le convaincre de partir à la découverte de nouveaux Pokémon pour compléter l'encyclopédie les répertoriant : le fameux Pokédex ! Rejoignez Rouge dans sa quête et découvrez la grande aventure par laquelle tout a commencé !,,2014-06-12,250.000000,Pokémon la grande aventure,Hidenori Kusaka,,,9782368520130,
9782368520147,2368520147,"Rouge est persuadé d'avoir déjouer pour de bon les plans de la Team Rocket avec l'aide de ses amis. Toujours décidé à compléter le pokédex que lui a confié le professeur Chen, il repart sur les routes accompagné de ses pokémons. Mais il est loin de ses douter des dangers qui l'attendent...",,2014-08-28,459.000000,Pokémon la grande aventure,"Hidenori Kusaka;Mato,",,,9782368520147,
9782368520154,2368520155,"Rouge est toujours porté disparu après son combat contre Aldo. Ayant recueilli le Pikachu du célèbre Dresseur, Jaune décide de partir à sa recherche. Après avoir suivi le dur entraînement que lui a imposé Bleu, Jaune se rend sur l'île Flamboyante pour affronter le Conseil 4. Retrouvez tous les héros de la Grande Aventure pour un final riche en rebondissements ! .",,2014-11-13,501.000000,Pokémon la grande aventure,Hidenori Kusaka,,,9782368520154,
9782368522219,2368522212,"Une nouvelle grande aventure s'offre à vous sur les routes de la région de Johto! Suivez Or, un jeune Dresseur arrogant et sûr de lui à la poursuite d'Argent, un mystérieux voleur de Pokémon! Un nouveau manga inédit basé sur les célèbres jeux Pokémon version Or et Pokémon version Argent!",,2016-02-11,438.000000,"Pokémon la grande aventure, or et argent",,,,9782368522219,
,,,,1753,,"Diplomataria et scriptores historiae germanicae medii aevi... studio Christiani Schoettgenii,... et M. Georgii Christophori Kreysigii,... Tomus I...",,,,9782368522776,
9782368523827,2368523820,,,2016-10-13,520.000000,"Pokémon la grande aventure, or et argent",,,,9782368523827,
9782368520895,2368520899,"Rubis vient d'emménager dans la région de Hoenn et compte bien assouvir sa passion pour les Concours Pokémon ! Mais ce n'est pas du goût de son père, un sévère Champion d'Arène qui préférerait le voir s'entraîner au combat. Rubis va fuguer et faire la connaissance de Saphir, une jeune fille au caractère bien trempé qui ambitionne de remporter tous les Badges de la région. Les deux jeunes gens vont se lancer un défi : réaliser leurs rêves en quatre-vingts jours !",,2014-12-11,320.000000,Pokemon la grande aventure Rubis et Saphir,Hidenori Kusaka;Satoshi Yamamoto,,,9782368520895,
9782368520871,2368520872,"L'arc scénaristique Rubis-Saphir de Pokémon La Grande Aventure me plaît énormément, et m'a laissé beaucoup de bons souvenirs. Savoir que les jeunes francophones peuvent désormais le lire me fait très plaisir. Dans ce tome 2, nous en sommes à la moitié de l'histoire, une étape particulièrement mouvementée et dynamique. Je suis certain que vous allez l'apprécier ! J'espère que vous aimerez aussi voir l'évolution des sentiments des personnages au fur et à mesure de leur périple. Pour le réveil de Groudon et Kyogre ainsi que les désastres que cela engendre, je me suis inspiré des films de monstres dont je suis si friand. J'ai fait des efforts particuliers pour décrire la puissance de ces deux Pokémon Légendaires. L'autre point sur lequel j'ai beaucoup réfléchi concerne les relations maîtres et élèves que ce soit entre Marc et Rubis ou entre Alizée et Saphir. J'espère que tous ces rebondissements vous plairont et que vous suivrez ces personnages dans leurs moments de joie mais aussi de tristesse ! Le combat entre Rubis et son père prend une toute nouvelle dimension grâce à la maturité acquise par le jeune homme. Chaque volume de Pokémon La Grande Aventure a ses points forts et celui de ce tome est sans nul doute l'action ! Les combats s'enchaînent à toute vitesse que ce soit dans les airs au Pilier Céleste ou sous les océans dans la Caverne Fondmer ! J'espère que vous apprécierez ces batailles où le bien et le mal sont étroitement mêlés !",,2015-03-12,512.000000,Pokemon la grande aventure Rubis et Saphir,Hidenori Kusaka,,,9782368520871,
9782368521540,2368521542,"La région de Hoenn doit faire face à un terrible danger avec le réveil des deux Pokémon légendaires, Gourdon et Kyogre. Rubis et Saphir doivent surmonter leurs différences s'ils veulent avoir une chance de contrecarrer les plans des Team Aqua et Team Magma. Dernier tome de la série.",,2015-07-02,512.000000,Pokemon la grande aventure Rubis et Saphir,,,,9782368521540,

9782351420713,2351420713,"La vie quotidienne de la petite Yotsuba, âgée de 6 ans, qui doit s'adapter à sa récente installation en ville. Son inexpérience donne lieu à de nombreux gags.",,2006-08-17,224.000000,Yotsuba & !,Kiyohiko Azuma,,,9782351420713,
9782351420720,2351420721,"La vie quotidienne de la petite Yotsuba, âgée de 6 ans, qui doit s'adapter à sa récente installation en ville. Son inexpérience donne lieu à de nombreux gags.",,2006-10-12,190.000000,Yotsuba & !,Kiyohiko Azuma,,,9782351420720,
