ERROR: 2024/04/16 20:40:48 createauthors.go:35: Found 0 book for 9782876951754
ERROR: 2024/04/16 20:40:50 createauthors.go:35: Found 0 book for 9782876951860
ERROR: 2024/04/16 20:40:50 createauthors.go:35: Found 0 book for 9782876951952
ERROR: 2024/04/16 20:40:58 createauthors.go:41: No author found for 9782877640275
ERROR: 2024/04/16 20:40:58 createauthors.go:35: Found 0 book for 9782877640282
ERROR: 2024/04/16 20:41:03 createauthors.go:35: Found 0 book for 9782877640725
ERROR: 2024/04/16 20:41:04 createauthors.go:35: Found 0 book for 9782877640831
ERROR: 2024/04/16 20:41:05 createauthors.go:35: Found 0 book for 9782877640848
ERROR: 2024/04/16 20:41:05 createauthors.go:35: Found 0 book for 9782877640909
ERROR: 2024/04/16 20:41:07 createauthors.go:35: Found 0 book for 9782877640930
ERROR: 2024/04/16 20:41:07 createauthors.go:35: Found 0 book for 9782877640947
ERROR: 2024/04/16 20:41:09 createauthors.go:35: Found 0 book for 9782877641128
ERROR: 2024/04/16 20:41:09 createauthors.go:35: Found 0 book for 9782877641203
ERROR: 2024/04/16 20:41:12 createauthors.go:35: Found 0 book for 9782877641401
ERROR: 2024/04/16 20:41:40 createauthors.go:35: Found 0 book for 9782884712088
ERROR: 2024/04/16 20:41:40 createauthors.go:35: Found 0 book for 9782884712095
ERROR: 2024/04/16 20:41:41 createauthors.go:35: Found 0 book for 9782884712101
ERROR: 2024/04/16 20:41:43 createauthors.go:35: Found 0 book for 9782884712132
ERROR: 2024/04/16 20:41:45 createauthors.go:35: Found 0 book for 9782884712149
ERROR: 2024/04/16 20:41:45 createauthors.go:35: Found 0 book for 9782884712187
ERROR: 2024/04/16 20:41:46 createauthors.go:35: Found 0 book for 9782884712569
ERROR: 2024/04/16 20:41:48 createauthors.go:41: No author found for 9782901076063
ERROR: 2024/04/16 20:41:53 createauthors.go:35: Found 0 book for 9782901076148
ERROR: 2024/04/16 20:41:54 createauthors.go:35: Found 0 book for 9782905359025
ERROR: 2024/04/16 20:42:05 createauthors.go:35: Found 0 book for 9782906187672
ERROR: 2024/04/16 20:42:23 createauthors.go:35: Found 0 book for 9782913714922
ERROR: 2024/04/16 20:42:33 createauthors.go:35: Found 0 book for 9789064217357
ERROR: 2024/04/16 20:42:33 createauthors.go:35: Found 0 book for 9789064218248
INFO: 2024/04/16 20:42:33 createauthors.go:77: Job ended
INFO: 2024/04/16 20:42:33 bookupdate.go:150: Job ended
