,Url,Série,Numéro,Title,Cote,Check,Notes Erwan,Author(s),Scénariste,Dessinateur,Editor,Release date,Book format,Language,Summary,Grade,Cover,Estimated price,Bonus data
9782731611816,https://www.justbooks.fr/search/?keywords=9782731611816&currency=EUR&destination=fr&mode=isbn&classic=off&lang=fr&st=sh&ac=qr&submit=,Le Coeur couronné,3,Le Fou de la Sorbonne,COEUR,o,,JODOROWSKY+MOEBIUS,,,Les Humanoïdes associés,1998,,Français,,3.48 Note moyenne,https://pictures.abebooks.com/isbn/9782731611816-us-300.jpg,"€17,47",NaN
2203338040,https://www.justbooks.fr/search/?keywords=2203338040&currency=EUR&destination=fr&mode=isbn&classic=off&lang=fr&st=sh&ac=qr&submit=,ONE SHOT,,Coeurs de Sable,COEUR,o,,Loustal-Paringaux,,,Casterman,1985,Couverture souple,français,Rare book,,https://pictures.abebooks.com/isbn/9782203338043-us-300.jpg,,
9782203334380,https://www.justbooks.fr/search/?keywords=9782203334380&currency=EUR&destination=fr&mode=isbn&classic=off&lang=fr&st=sh&ac=qr&submit=,ONE SHOT,,La cohabitation,COHAB,o,,"Franc, Régis",,,Casterman,1993,Couverture souple,Français,Hard to Find,,https://pictures.abebooks.com/isbn/9782203334380-us-300.jpg,,NaN
9782205039337,https://www.justbooks.fr/search/?keywords=9782205039337&currency=EUR&destination=fr&mode=isbn&classic=off&lang=fr&st=sh&ac=qr&submit=,Colby,1, Altitude moins trente,COLBY,o,,"Blanc-Dumont, Greg",,,Dargaud,1991,Couverture souple,Français,book,,https://pictures.abebooks.com/isbn/9782205039337-us-300.jpg,"€6,24",NaN
2203338245,https://www.justbooks.fr/search/?keywords=2203338245&currency=EUR&destination=fr&mode=isbn&classic=off&lang=fr&st=sh&ac=qr&submit=,Colin-Maillard,1,Colin-Maillard,COLIN,o,,Cabanes,,,CASTERMAN,1993,Couverture souple,français,HARD TO FIND,3.50 Note moyenne,https://pictures.abebooks.com/isbn/9782203338241-us-300.jpg,"€13,45",
9782800138077,https://www.justbooks.fr/search/?keywords=9782800138077&currency=EUR&destination=fr&mode=isbn&classic=off&lang=fr&st=sh&ac=qr&submit=,Les Colocataires,2,Gueules de bois,COLOC,o,,Sylvain Runberg; Christopher,,,Editions Dupuis,2006,,,,,https://pictures.abebooks.com/isbn/9782800138077-us-300.jpg,"€8,98",NaN
9782203334267,https://www.justbooks.fr/search/?keywords=9782203334267&currency=EUR&destination=fr&mode=isbn&classic=off&lang=fr&st=sh&ac=qr&submit=,ONE SHOT,,Colombo,COLOM,o,,Altan,,,Casterman,1985,Couverture souple,Français,,,https://pictures.abebooks.com/isbn/9782203334267-us-300.jpg,,NaN
2906187216,https://www.justbooks.fr/search/?keywords=2906187216&currency=EUR&destination=fr&mode=isbn&classic=off&lang=fr&st=sh&ac=qr&submit=,ONE SHOT,,Les colonisateurs,COLON,o,,Les Colonisateurs,,,Delcourt,1993,Couverture souple,français,30x23x1cm. Broché.,,https://pictures.abebooks.com/isbn/9782906187214-us-300.jpg,,
9782871291084,https://www.justbooks.fr/search/?keywords=9782871291084&currency=EUR&destination=fr&mode=isbn&classic=off&lang=fr&st=sh&ac=qr&submit=,Colt Walker,1,Gila,COLTW,o,,Yann; Lamy,,,Dargaud,1997,,Français,,,https://pictures.abebooks.com/isbn/9782871291084-us-300.jpg,,NaN
9782845651319,https://www.justbooks.fr/search/?keywords=9782845651319&currency=EUR&destination=fr&mode=isbn&classic=off&lang=fr&st=sh&ac=qr&submit=,Colt Walker,2,Gila 2,COLTW,o,,Yann; Lamy,,,Soleil productions,2001,,Français,,,https://pictures.abebooks.com/isbn/9782845651319-us-300.jpg,,NaN
